score	published	tickers
-0.5	2022-05-13	FLOT
0.22580645161290325	2022-06-08	TWTR
-0.3076923076923077	2022-07-08	TWTR
-0.12000000000000005	2022-04-27	V
0.7435897435897436	2022-04-05	V
0.6363636363636365	2022-04-28	VKCO
0.7037037037037037	2022-04-28	VKCO
0.5416666666666667	2022-04-28	VKCO
-0.6551724137931034	2022-04-28	VKCO
0.4482758620689655	2022-03-31	VKCO
0.3142857142857143	2022-04-15	VKCO
0.5652173913043479	2022-04-15	VKCO
0.6666666666666667	2022-07-28	VKCO
0.19999999999999996	2022-04-28	VEON-RX
-0.5789473684210527	2022-04-28	VEON-RX
-0.6666666666666667	2022-06-28	VEON-RX
-0.5625	2022-06-28	VEON-RX
-0.5555555555555556	2022-07-22	GAZP
-0.7037037037037037	2022-05-31	UBER
0.6111111111111112	2022-04-06	TWTR
-0.37931034482758624	2022-07-09	TWTR
-0.6551724137931034	2022-07-09	TWTR
-0.4285714285714286	2022-07-13	TWTR
-0.5714285714285714	2022-04-28	TWTR
-0.5714285714285714	2022-04-08	TWTR
-0.5757575757575757	2022-05-15	TWTR
-0.8064516129032258	2022-05-26	TWTR
-0.35294117647058826	2022-05-26	TWTR
-0.36170212765957444	2022-04-15	TWTR
-0.23076923076923078	2022-07-28	NVTK
-0.6666666666666667	2022-04-28	NVTK
-0.21428571428571425	2022-06-17	TWTR
0.23076923076923078	2022-04-15	NYT
0.08108108108108109	2022-06-25	VKCO
-0.1538461538461538	2022-06-25	VKCO
0.7209302325581395	2022-07-12	VKCO
-0.7142857142857142	2022-07-27	GAZP
-0.5294117647058822	2022-07-28	GAZP
-0.1333333333333333	2022-05-12	LKOH
-0.125	2022-07-28	LKOH
-0.28	2022-07-28	GAZP
-0.5555555555555556	2022-04-20	GAZP
-0.4482758620689655	2022-07-18	GAZP
0.2195121951219512	2022-04-26	TWTR
-0.6190476190476191	2022-07-27	LMT
-0.0714285714285714	2022-07-19	GAZP
-0.4545454545454546	2022-05-06	QIWI
0.5789473684210527	2022-06-23	POLY
0.46341463414634143	2022-04-25	POLY
-0.29411764705882354	2022-07-19	POLY
-0.22222222222222227	2022-07-19	POLY
-0.6190476190476191	2022-05-04	CBOM
0.5	2022-05-11	PM
-0.7142857142857142	2022-05-23	PFE
-0.31034482758620685	2022-04-26	GAZP
0.588235294117647	2022-05-20	GAZP
-0.5135135135135136	2022-04-12	NOK
0.6799999999999999	2022-04-20	TWTR
0.8378378378378379	2022-04-20	TWTR
0.6000000000000001	2022-04-16	TWTR
-0.6744186046511629	2022-04-20	NFLX
0.27777777777777773	2022-07-07	NFLX
-0.17073170731707316	2022-07-20	NFLX
-0.631578947368421	2022-05-27	NFLX
0.6071428571428572	2022-06-15	NFLX
0.35000000000000003	2022-04-20	NFLX
0.8518518518518519	2022-06-13	NFLX
0.4090909090909091	2022-05-07	TWTR
-0.1578947368421053	2022-06-06	AAPL
-0.5454545454545454	2022-06-27	MCO
-0.411764705882353	2022-07-15	MCO
-0.8888888888888888	2022-07-15	MCO
-0.7037037037037037	2022-04-15	MCO
-0.3333333333333333	2022-03-28	MCO
0.05882352941176472	2022-05-06	MCO
-0.5151515151515151	2022-03-31	MCO
-0.30000000000000004	2022-03-31	MCO
-0.19999999999999996	2022-05-26	MCO
-0.8620689655172413	2022-07-28	MA
-0.631578947368421	2022-05-05	FLOT
-0.2272727272727273	2022-07-29	KHC
-0.48148148148148145	2022-07-29	KHC
-0.42105263157894735	2022-03-29	JNJ
-0.31034482758620685	2022-07-02	JPM
-0.5151515151515151	2022-06-07	IBM
-0.375	2022-04-01	GAZP
-0.853658536585366	2022-04-23	HAL
0.2432432432432432	2022-07-07	VKCO
0.4666666666666666	2022-07-04	BKNG
0.641025641025641	2022-04-20	VKCO
0.5897435897435896	2022-07-01	C
-0.4285714285714286	2022-04-29	AAPL
0.4615384615384615	2022-05-17	GAZP
0.0625	2022-06-16	LKOH
-0.6923076923076923	2022-06-07	IBM
-0.5652173913043479	2022-07-29	JPM
-0.6585365853658536	2022-07-29	JPM
-0.631578947368421	2022-06-23	CSCO
-0.17948717948717952	2022-04-26	TWTR
0.4375	2022-05-05	TWTR
0.5172413793103448	2022-05-26	VMW
-0.05555555555555558	2022-05-07	BKNG
-0.16129032258064518	2022-04-08	BKNG
-0.8	2022-07-26	AFLT
0.5428571428571429	2022-04-25	TWTR
0.5	2022-06-10	AAPL
-0.45945945945945943	2022-07-18	AAPL
0.06382978723404253	2022-05-07	GAZP
-0.5714285714285714	2022-03-31	AAPL
0.34883720930232553	2022-06-14	VKCO
0.39999999999999997	2022-05-12	GAZP
-0.3333333333333333	2022-07-11	TWTR
0.6571428571428573	2022-07-05	VKCO
-0.47368421052631576	2022-06-20	BAYN@DE
0.7857142857142858	2022-05-06	AAPL
0.16666666666666669	2022-07-07	AAPL
-0.21212121212121215	2022-03-29	AAPL
-0.4666666666666666	2022-05-11	AAPL
0.5	2022-06-06	AAPL
0.6170212765957446	2022-04-29	AAPL
0.3333333333333333	2022-06-15	AAPL
-0.3636363636363636	2022-07-12	AAPL
